hotelName,locale,checkinDate,checkoutDate,tripType,tripPurpose,userLocation,rating,numOfDaysStay,reviewDate,reviewText
Rochavau Hotel,en-gb,2024-11-06,2024-11-09,family_with_children,leisure,gb,4,3,2024-11-10 16:22:00,pros: Great location. We could see the sea from our balcony! Staff were friendly and organised airport transfer and a trip to Benagil caves. The interior design of this hotel is lovely. Housekeeping is fabulous and the rooms are clean and comfortable cons: Nothing to dislike here. A bar would be great but I think that is in the pipeline
Rochavau Hotel,en-gb,2024-10-11,2024-10-14,couple,leisure,fr,4,3,2024-11-10 14:59:52,pros: Tout cons: T’as
Rochavau Hotel,en-gb,2024-10-05,2024-10-12,couple,leisure,gb,4,7,2024-10-13 09:26:10,pros: Clean and comfortable cons: Queuing for coffee
Rochavau Hotel,en-gb,2024-09-14,2024-09-19,solo_traveller,leisure,gb,3.59999990463257,5,2024-09-27 20:05:43,pros: hotel was spotlessly clean and breakfast was adequate. cons: they advertised a bar but that turned out to be a fridge where breakfast was served and I couldn't buy a beer. thought this was strange and when I arrived I was told the pool would be shutting for renovation 2 days later.
Rochavau Hotel,en-gb,2024-09-07,2024-09-15,couple,leisure,nl,3.59999990463257,8,2024-09-16 07:45:12,"pros: Beautiful hotel  very good location with a 1 minute walk to a great beach. Breakfast is very nice  we had a room with ocean view. Employees are super sweet.
In summary: a perfect holiday destination cons: Nothing everything was super. Only 1 comment the pillows are not the best for me personally."
Rochavau Hotel,en-us,2024-09-10,2024-09-13,couple,leisure,us,3.59999990463257,3,2024-09-13 23:34:32,pros: The hotel room and facilities were excellent and close to beach and restaurants and bars. cons: Parking garage was tightest garage I have been in my life.
Rochavau Hotel,en-gb,2024-06-08,2024-06-10,couple,leisure,pt,4,2,2024-08-31 11:23:25,pros: Friendly staff and great location. The swimming pool area was always clean. cons: 
Rochavau Hotel,en-gb,2024-07-21,2024-07-26,couple,leisure,gb,4,5,2024-07-27 13:45:13,pros: Everything cons: Nothing
Rochavau Hotel,en-us,2024-07-16,2024-07-18,couple,leisure,gb,4,2,2024-07-18 16:14:28,pros: Hotel is very new and beautifully decorated very clean and in a good location very close to a lovely beach staff were amazing I would definitely recommend it. cons: 
Rochavau Hotel,en-gb,2024-07-05,2024-07-11,solo_traveller,leisure,de,3.20000004768372,6,2024-07-12 00:28:20,pros: the hotel was very clean and modern water and coffee in the room breakfast was ok cons: you could hear everything your neighbors are doing: talking turning the light switches going to the toilet
Rochavau Hotel,en-us,2024-06-26,2024-06-29,solo_traveller,leisure,gb,4,3,2024-07-01 13:22:49,pros: My stay was perfect from the moment I arrived. The staff were friendly and helpful. The room and facilities were very clean and stylish. I also enjoyed having breakfast each morning. Additionally the location was perfect! 50 mins from the airport 5 minutes from the beach 10 minutes to the strip where all the bars and restaurants were. I would definitely recommend staying here! cons: You could sometimes here noise from the other rooms and street.
Rochavau Hotel,en-us,2024-06-26,2024-06-29,family_with_children,leisure,us,4,3,2024-06-30 00:57:52,pros: Such a convenient Clean property very kind staff :) straight to the point hotel ! cons: 
Rochavau Hotel,en-gb,2024-06-13,2024-06-18,review_category_group_of_friends,leisure,gb,4,5,2024-06-20 17:24:06,pros: Property was exceptionally clean and had cleaners come to clean rooms every morning. Great location right next to the beach and the strip for bars/clubs. Thoroughly enjoyed my stay! Breakfast was also very lovely and staff were welcoming and lovely. cons: Complaints from visitors about noise which was quite annoying as was on a party holiday.
Rochavau Hotel,en-gb,2024-06-12,2024-06-15,review_category_group_of_friends,leisure,mo,3.59999990463257,3,2024-06-20 06:45:11,pros: Room is clean and new with a little balcony. Breakfast start from 7am which is a bonus. cons: 
Rochavau Hotel,en-gb,2024-05-31,2024-06-03,couple,leisure,se,3.59999990463257,3,2024-06-19 16:07:46,pros: We loved this hotel can definitely recommend. Nice clean comfortable very friendly and helpful personnel very good breakfast. The nearest beach is just a couple of minutes away (their beach towels are great btw ask the reception if you need one they don't seem to offer them in the room by default). They also have an underground garage for a reasonable extra price if you have a car (there are free parking places in the area as well but rather limited and we found it very convenient with the garage). cons: I don't think it has a gym (at least we didn't see any). The balcony in our room was small and facing the road and the noise didn't make it so pleasant to sit there but you do get a little bit of ocean view. It doesn't spoil the overall good impression.
Rochavau Hotel,en-gb,2024-06-07,2024-06-10,couple,leisure,cz,3.59999990463257,3,2024-06-11 09:26:05,pros:  cons: Breakfast might have been better.
Rochavau Hotel,en-gb,2024-06-02,2024-06-06,couple,leisure,pt,4,4,2024-06-06 22:44:21,"pros: Location is perfect close to the beach.
Breakfast was superb.
Staff is very kind and helpful. cons: "
Rochavau Hotel,en-gb,2024-05-02,2024-05-08,couple,leisure,nl,4,6,2024-05-10 14:12:42,pros: Amazing room kind and helpful staff great housekeeping cons: everything was amazing
Rochavau Hotel,en-us,2024-03-17,2024-03-22,review_category_group_of_friends,leisure,in,4,5,2024-03-23 12:07:06,pros: Location and breakfast cons: 
Rochavau Hotel,en-gb,2024-02-08,2024-02-09,couple,leisure,ee,4,1,2024-02-26 13:20:22,pros: This place was upscale and very comfortable.  The staff was very friendly and accommodating and the breakfast was awesome. cons: The only thing that they couldn't control the weather!
Rochavau Hotel,en-gb,2023-09-16,2023-09-19,couple,leisure,be,3.59999990463257,3,2023-09-19 22:42:53,pros: good hotel friendly staff good location cons: no remarks
Rochavau Hotel,en-gb,2023-08-16,2023-08-23,couple,leisure,gb,3.20000004768372,7,2023-09-01 12:27:17,pros: Breakfast area too small for number of guests. Always queue for coffee machine. Beans always cold. cons: As above comments.
Rochavau Hotel,en-gb,2023-08-25,2023-08-28,couple,leisure,ee,3.59999990463257,3,2023-08-28 22:11:23,pros: Close to the beach very good staff they provide gym vouchers for first time in a local nearby gym. Inside was overall clean and new. cons: During 3 day stay shampoo shower gel got empty and we had to ask sepparately for refill. One time we were provided dirty towel and bathrobe. However - these problems were solved very quickly. So once again the staff was very good. The beds were not too comfortable and the street side was a little bit too noisy. Breakfast was good but had no variety.
Rochavau Hotel,en-gb,2023-08-22,2023-08-27,couple,leisure,gb,4,5,2023-08-28 11:50:44,pros: Very clean cons: Coffee machines in dining room were hopeless..  Always a queue and  extreeeeeemely slow
Rochavau Hotel,en-gb,2023-08-13,2023-08-21,couple,leisure,gb,3.20000004768372,8,2023-08-25 22:04:23,pros: I did enjoy breakfast but very busy in morning in dining area. cons: Did not see a bar area when there? Balcony very small but great view of pool area.
Rochavau Hotel,en-gb,2023-08-21,2023-08-24,couple,leisure,se,3.20000004768372,3,2023-08-25 00:50:07,pros: Perfect location. Parking available. Functional rooms with well placed AC. Hard beds. cons: Too small bathrooms. Late cleaning of rooms. Crowded breakfasts with ok selection of food.
Rochavau Hotel,en-gb,2023-08-08,2023-08-11,couple,leisure,hu,3.59999990463257,3,2023-08-21 14:37:52,pros: Nice and stylishly furnished rooms comfortable bed good location cleanliness very nice attentive and polite staff. It's good that the hotel has its own swimming pool. cons: If they want to improve the excellent standard they can offer a wider selection of breakfast - but this is really just a comment that is not absolutely necessary.
Rochavau Hotel,en-gb,2023-06-27,2023-07-02,review_category_group_of_friends,leisure,ke,4,5,2023-07-06 14:30:34,pros: Beautiful & modern. Extremely close to the beach & this was very convenient for AfroNation. The staff are quite friendly & helpful. cons: Nothing. Everything was up to to par.
Rochavau Hotel,en-gb,2023-06-28,2023-06-30,review_category_group_of_friends,leisure,de,4,2,2023-07-01 03:13:42,pros: Everything about the hotel was amazing very new facility and the entire staff were wonderful friendly and amazing. Definitely my best hotel stay so far cons: Nothing
Rochavau Hotel,en-gb,2024-06-09,2024-06-13,couple,leisure,ae,2.79999995231628,4,2024-06-13 22:22:46,"pros: Nice modern rooms! Nice coffee machine. cons: Breakfast area is too small leading to long queues and crowding of buffet area.
Bathroom is small.
No privacy in terrace you are literally sharing it with others on ground floor. All terrace rooms are on ground floor. See the pic attached."
Rochavau Hotel,en-gb,2024-04-11,2024-04-14,review_category_group_of_friends,leisure,gb,2.79999995231628,3,2024-04-15 12:01:23,pros: Clean and classy cons: The breakfast could have been better
Rochavau Hotel,en-us,2023-10-05,2023-10-08,couple,leisure,ca,2.79999995231628,3,2023-10-08 22:11:40,pros:  cons: Parking garage was way to small. Would not recommend using it and it should be advised before charging customers for its use and charging them for it. Staff would not offer a refund
Rochavau Hotel,en-gb,2023-08-08,2023-08-15,family_with_children,leisure,gb,0.400000005960464,7,2023-09-30 21:36:02,pros: It was not what was expected for a 4-star hotel cons: Despite the cleaning not being up to the desired standard but the staff's disregard/neglect  for something obvious the air conditioning that didn’t work resulting my family spent 4 nights without sleeping was shocking.
Rochavau Hotel,en-us,2023-08-07,2023-08-12,couple,leisure,es,1.20000004768372,5,2023-08-13 20:13:24,"pros: The room was nice with enough space.
The swimming pool was very good and there was good facilities such as showers and WCs available. cons: The hotel is clearly understaffed with people from reception having to clean tables during breakfast when too many guests are coming down at the same time. Also there's not enough room for many guests because the breakfast area is too small for the hotel capacity and a line is formed with delays of up to 20 mins to get some breakfast (line is also formed even for getting coffee once you get your table).
Room cleaning is very poor as they claim they clean them from 15.00 to 18.00 which is crazy because if you went to the beach or on a tour and want to take a shower and have a nap you might get caught by the cleaning staff.
They also have skipped or poorly made our room more than once during our stay leaving dirty cups and trash not taken away unmade beds not changed towels etc. We had to complain more than once and they even got the face to tell us that we left the ""do not disturb"" sign when we clearly left the other ""please make the room"" (both signs have the same color on both sides of the card which calls for this kind of trouble if staff misread them).
Lastly we selected a Queen size bed and they gave us a Twin beds instead (they do not make that clear here in Booking like other hotels do) and when we told them they said that they don't have queen size so the publishing of the rooms is either wrong or misleading. On the same line the advertised ""room service"" does not exist as they only offer coffee or small beverages and not really food to serve on the room or anything like that.
On a final note during checkout we gave this feedback again and they only offered a 5% discount for our next stay... Considering the poor service provided for a 4 star hotel and that we aren't ever going back I'd say is a cheap tactic with low risk for them to save face."
Rochavau Hotel,pt-pt,2025-01-01,2025-01-02,solo_traveller,leisure,pt,4,1,2025-01-04 11:16:22,pros: Muito aconchegante e limpo os funcionários são muito simpáticos o pequeno almoço da manhã é excelente com uma grande variedade. Recomendo. cons: 
