hotelName,language,checkinDate,checkoutDate,tripType,tripPurpose,country,rating,numOfDaysStay,reviewDate,reviewText
Portugal Boutique Hotel,en-gb,2025-01-05,2025-01-07,solo_traveller,leisure,au,4,2,2025-01-11 05:18:58,pros: The staff at this hotel are friendly helpful and genuinely thoughtful going above and beyond! The room was pristine large and had very thoughtful details throughout during the stay (including some delicious local treats). Fab breakfast with a great variety of sweet/savoury baked goods eggs hot/cold meats fresh seasonal fruit and natural yoghurt. Location is perfect for a short or long stay. I stayed here upon recommendation from my parents & friends who have stayed here over the years and my stay (altho short due to being delayed arriving) exceeded expectations. This was my first time in Portugal and I am really looking forward to returning! cons: Nothing!
Portugal Boutique Hotel,en-gb,2025-01-04,2025-01-09,couple,leisure,au,4,5,2025-01-10 19:44:30,pros: Location staff and the upgrade was a pleasant surprise cons: Nothing
Portugal Boutique Hotel,en-us,2025-01-02,2025-01-06,couple,leisure,us,4,4,2025-01-08 22:55:38,pros: The location was really good it was near to everything cons: We could feel the vibration of the metro each time it passed and the bathroom can get very cold the floor was freezing
Portugal Boutique Hotel,en-us,2025-01-04,2025-01-07,review_category_group_of_friends,leisure,ca,4,3,2025-01-08 01:00:22,pros: Attention to detail! Staff makes you feel like a guest! cons: 
Portugal Boutique Hotel,en-gb,2025-01-05,2025-01-07,solo_traveller,leisure,us,4,2,2025-01-07 22:05:40,pros: Very friendly staff excellent location comfortable beds and very good breakfast. I will definitely stay here again when I am in Lisbon. cons: Kept knocking on my door with chocolates wine etc. I just came off a 14 hour flight and was not interested in the disruptions.
Portugal Boutique Hotel,en-gb,2025-01-02,2025-01-04,couple,leisure,au,4,2,2025-01-06 14:27:32,pros: Great location amazing staff and service cons: Nothing
Portugal Boutique Hotel,en-gb,2025-01-01,2025-01-04,couple,leisure,mu,4,3,2025-01-05 15:02:42,pros: The hotel is beautiful and well decorated. The location is extremely central and the star are exceptional!!! cons: 
Portugal Boutique Hotel,en-gb,2025-01-01,2025-01-04,couple,leisure,mx,4,3,2025-01-05 03:14:17,pros: Everything. Although the surroundings do not look very safe the location is excellent the hotel is beautiful very clean friendly personnel. cons: I did like everything.
Portugal Boutique Hotel,en-gb,2024-12-31,2025-01-03,review_category_group_of_friends,leisure,sg,4,3,2025-01-03 12:52:24,pros: Well located near major attractions shopping and Metro stations. Yet tucked away from the crowd. The hotel gave us little treats (egg tarts wine welcome drinks petit fours) for the New Year festivities. The room we had was so comfy. cons: Nothing not to like about.
Portugal Boutique Hotel,en-gb,2024-12-22,2024-12-27,family_with_children,leisure,ca,3.20000004768372,5,2025-01-02 17:50:00,pros: The staff are wonderful and go out of their way to make sure guests are happy. My son came down with a stomach virus and hotel staff were so kind and helpful with preparing special food for him finding us a Dr who did housecalls and even scouring pharmacies to find us the medicine the Dr had prescribed. The breakfast was amazing and included smoked salmon and mimosas every day!  Also eggs bread cheese charcuterie fresh fruit/veggiesetc.  Can't understand why anyone would complain about this.  Hotel is central to almost everything and walkable.  Room was decent size and clean. cons: The bathroom had a slight sewage smell even though hotel tried to fix it. This is common in Lisbon especially in older buildings in the Baixa and wouldn't stop me from booking here again.  Hotel is located near the Mouraria neighborhood which can be dodgy at night but again no biggie for me.  I felt the subway but only barely  - didn't prevent me from sleeping like a baby during my stay.  Bring earplugs if you're sensitive to noise.  The amazing staff and comfy beds make up for these small issues
Portugal Boutique Hotel,en-gb,2024-12-29,2025-01-01,couple,leisure,ie,3.59999990463257,3,2025-01-02 14:50:12,pros: Wonderful friendly staff. Super location and beautiful hotel. So helpful for information and guiding you to your tourist destination. cons: No complaints 👌
Portugal Boutique Hotel,en-us,2024-12-27,2024-12-31,couple,leisure,ca,4,4,2025-01-01 22:18:05,pros: Excellent location. Staff went above and beyond. Really great touches throughout our stay. cons: The pillows were not so comfortable but that’s a personal preference.
Portugal Boutique Hotel,en-gb,2024-12-23,2024-12-27,couple,leisure,gb,4,4,2024-12-31 16:31:14,pros: Hotel central location in easy walking distance of many of Lisbon's attractions bus and tram stops and eateries. The staff were absolutely exceptionally courteous and helpful. Amongst the best we've experienced. cons: Maybe the breakfast coffee could have been stronger but we're nit-picking.
Portugal Boutique Hotel,en-us,2024-12-15,2024-12-18,family_with_children,leisure,us,3.20000004768372,3,2024-12-29 16:26:44,pros: Breakfast cons: No gym
Portugal Boutique Hotel,en-us,2024-11-17,2024-11-20,family_with_children,leisure,us,4,3,2024-12-29 15:18:59,pros: The hotel was at the perfect location for our needs.  Our room was clean and large.  The restroom and shower in the room was my favorite from my whole trip.  It was spacious and also clean.  The staff was very friendly and helpful. The breakfast was delicious with fresh juices. We had a wonderful stay. cons: 
Portugal Boutique Hotel,en-gb,2024-12-08,2024-12-12,couple,leisure,gb,3.59999990463257,4,2024-12-29 12:16:25,pros: Very clean friendly staff good buffet breakfast. Location is excellent. cons: Couple of small things in the room could do with some attention but minor and wouldn’t stop me going back to the same hotel or room.
Portugal Boutique Hotel,en-us,2024-12-24,2024-12-27,review_category_group_of_friends,leisure,tw,3.20000004768372,3,2024-12-28 15:26:55,pros: Hotel Decoration and room inner service. cons: Room 306 the shower headrail is not easy to use.
Portugal Boutique Hotel,en-us,2024-11-27,2024-11-29,couple,leisure,ca,4,2,2024-12-26 16:19:19,pros: Excellent foods and very friendly staff especially the lead lady. Your treats going to the room at night are very unique and appreciative. Also enjoyed the wine tasting. cons: Nothing
Portugal Boutique Hotel,en-us,2024-11-28,2024-11-29,couple,leisure,ca,3.20000004768372,1,2024-12-26 14:27:25,pros: convenient location clean cons: very small breakfast room
Portugal Boutique Hotel,en-gb,2024-12-16,2024-12-21,couple,leisure,gr,4,5,2024-12-25 21:10:15,"pros: Very nice and clean hotel. Excellent service! Already fresh and delicious breakfast. The hotel location is great. The hotel send me the compliment the bottle of champagne for my birthday. 
If we ever come back to Lisboa we definitely stay at this hotel again. cons: "
Portugal Boutique Hotel,en-gb,2024-12-21,2024-12-24,couple,leisure,gb,4,3,2024-12-25 20:58:29,pros: It is a lovely hotel very centrally located near Rossio metro. The staff are so friendly and professional. We loved the treats that they provided us with during our stay. The bedding is superb and the bed is very comfortable. The bathroom is a good size with an excellent shower.The breakfast is of high quality and the hotel is very good value all things considered. cons: The standard double room is quite small really.. It has a huge bed but there little room at the foot of the bed. It is probably all to do with the construction of the hotel.
Portugal Boutique Hotel,en-us,2024-12-20,2024-12-23,couple,leisure,us,3.59999990463257,3,2024-12-24 10:44:37,pros: Staff was very kind and helpful cons: 
Portugal Boutique Hotel,en-us,2024-12-18,2024-12-21,couple,leisure,za,4,3,2024-12-23 16:36:55,pros: All cons: 
Portugal Boutique Hotel,en-gb,2024-12-18,2024-12-22,couple,leisure,il,4,4,2024-12-23 04:45:08,pros: Everything cons: Nothing
Portugal Boutique Hotel,en-gb,2024-12-13,2024-12-17,couple,leisure,gb,3.20000004768372,4,2024-12-21 17:25:13,pros: Great location being in the centre of the City. Staff were lovely. cons: Breakfast choice could have been greater but adequate nonetheless.
Portugal Boutique Hotel,en-gb,2024-12-14,2024-12-17,family_with_children,leisure,my,3.20000004768372,3,2024-12-19 06:09:04,pros: Staff are friendly and service orientated. Small and cosy at the reception area. Rooms size are satisfactorily big. cons: The plug points in the room. All at the lower level which is so inconvenient when come to charging your phone
Portugal Boutique Hotel,en-gb,2024-12-15,2024-12-16,couple,leisure,bh,3.59999990463257,1,2024-12-17 14:39:21,pros: Staff very good/welcoming. Location was excellent very central. cons: Bathroom was a bit weird set up for a disabled person.
Portugal Boutique Hotel,en-gb,2024-12-12,2024-12-14,couple,leisure,ie,4,2,2024-12-14 19:54:03,pros: An amazing hotel great location great staff great touches. cons: 
Portugal Boutique Hotel,en-gb,2024-12-11,2024-12-13,couple,leisure,fr,4,2,2024-12-14 13:40:59,pros: Everything was superb from the welcome wine tasting from the manager Joao to the reception staff restaurant staff bar staff doorman and the cleaners. cons: Nothing
Portugal Boutique Hotel,en-us,2024-12-04,2024-12-11,couple,leisure,gb,4,7,2024-12-11 22:44:23,pros: Fantastic staff hotel and location cons: Had to come home
Portugal Boutique Hotel,en-gb,2024-12-06,2024-12-09,review_category_group_of_friends,leisure,gb,4,3,2024-12-09 21:22:00,"pros: Fantastic location close to a lot of attractions and transport links. The staff went above and beyond to make the trip enjoyable. Nothing was too much trouble. As a group we couldn't praise them enough. 
The welcome drink and cake was a nice touch.
The rooms were larger than the average hotel room and the turn down service and chocolate were a bonus.
Overall it was a great experience and a hotel that we would all recommend cons: "
Portugal Boutique Hotel,en-us,2024-12-04,2024-12-06,family_with_children,leisure,us,4,2,2024-12-09 18:28:23,pros: Clean convenient to everything. cons: We had a room facing the alleyway where bikers and pedestrians go. It was a bit noisy.
Portugal Boutique Hotel,en-gb,2024-11-10,2024-11-11,couple,leisure,ie,3.59999990463257,1,2024-12-09 08:51:30,pros: Staff very friendly and helpful cons: 
Portugal Boutique Hotel,en-gb,2024-11-30,2024-12-04,couple,leisure,sg,3.59999990463257,4,2024-12-06 12:04:39,"pros: Clean comfortable convenient. Dessert treats on our first & last days of our stay was a very nice touch. 👍 cons: 1. No personal amenities e.g. toothbrush provided
2. No information about a metro strike taking place during our stay 
3. Bought a travel card at 10euros. Think it costs 6.80 + 0.50 euros from metro station. Ok to sell it at 10 euros for convenience of travelers but being informed would be great."
Portugal Boutique Hotel,en-gb,2024-11-30,2024-12-05,couple,leisure,gb,4,5,2024-12-05 23:26:57,pros: Well appointed modern hotel.  Staff were friendly and went out of their way to assist. Close to old town perfect location room and staff cons: Nothing
Portugal Boutique Hotel,en-us,2024-12-03,2024-12-05,couple,leisure,us,4,2,2024-12-05 22:10:58,pros: Location and Staff cons: Nothing
Portugal Boutique Hotel,en-gb,2024-11-30,2024-12-04,family_with_children,leisure,gr,4,4,2024-12-05 19:01:45,pros: The room was excellent! Very comfortable and clean! The staff was very friendly and kind. The location was also very convenient because its in the city centre. cons: 
Portugal Boutique Hotel,en-gb,2024-11-30,2024-12-04,couple,leisure,au,4,4,2024-12-04 22:30:07,pros: Excellent location in the heart of Lisbon. Reasonably priced hotel friendly helpful and efficient staff. Surrounded by cafes and restaurants. Highly recommend. cons: We had no dislikes at this hotel.
Portugal Boutique Hotel,en-gb,2024-11-30,2024-12-02,review_category_group_of_friends,business,si,3.59999990463257,2,2024-12-03 23:47:35,"pros: Excellent location first the prople without car
Room and bathroom have been refurbished and are OK.
breakfast is good cons: "
Portugal Boutique Hotel,en-us,2024-11-26,2024-11-29,review_category_group_of_friends,leisure,il,4,3,2024-12-03 19:09:05,pros: Excellent accommodation and position. Staff very friendly in particular Celia Ferreira in the dining room who went out of her way to accommodate my dietary restrictions. Highly recommended. cons: 
Portugal Boutique Hotel,en-gb,2024-11-23,2024-11-28,couple,leisure,ch,4,5,2024-12-02 18:02:26,pros: This Hotel I recommend to all my family relatives and friend when they will visit Lisbon. My wife and I will sure visit Lisbon again and only will go to this Hotel. You are right in the middle of Lisbon just perfect. Close to good restaurant shopping Bus Tours etc. Enjoy when you go. cons: Nothing
Portugal Boutique Hotel,en-us,2024-11-18,2024-11-21,couple,leisure,ca,4,3,2024-12-02 17:27:19,pros: Location and the efficiency friendly staff. The hotel manager was very gracious and generous of his time. cons: 
Portugal Boutique Hotel,en-gb,2024-11-29,2024-12-01,couple,leisure,gr,3.59999990463257,2,2024-12-02 09:07:42,pros: Great location very friendly staff !!! cons: Breakfast  not many choices
Portugal Boutique Hotel,en-us,2024-10-30,2024-11-02,couple,leisure,us,4,3,2024-11-29 01:23:55,pros: It was very cute with a chicness and the rooms had a modern touch. The rooms were extremely clean too! cons: Would have been nice if the registration desk could recommend elegant restaurants in Lisbon and make the reservations for the guests.
Portugal Boutique Hotel,en-gb,2024-11-24,2024-11-27,couple,leisure,pl,4,3,2024-11-27 18:00:28,pros: Beautiful and well-kept hotel. Service at the highest level. Room great. Probably even better than we booked. Gifts from the hotel and birthday champagne for my husband were a great surprise. I will recommend this hotel to everyone and we will come back but this time with our daughter. I have been to 7 countries recently and most hotels should learn from you. Thank you. cons: x
Portugal Boutique Hotel,en-us,2024-11-18,2024-11-22,couple,leisure,us,4,4,2024-11-26 08:54:15,pros: Staff made you feel as if you were staying in their home. cons: Nothing
Portugal Boutique Hotel,en-gb,2024-11-22,2024-11-24,couple,leisure,au,4,2,2024-11-25 09:08:59,pros: Both excellent cons: All was fantastic
Portugal Boutique Hotel,en-gb,2024-11-14,2024-11-19,couple,leisure,gb,4,5,2024-11-20 15:04:59,pros: The location was very central and with easy access to transport. The room was very comfortable with all the facilities we needed. Housekeeping was exceptional. The breakfast was well worth getting up for with a good range of cold and cooked food served well by the attentive staff. The hotel staff were excellent always happy to see us very courteous and professional nothing was too much trouble. cons: I don't think there was anything we did not like. This is one of the best hotels we have stayed in.
Portugal Boutique Hotel,en-gb,2024-11-14,2024-11-15,solo_traveller,leisure,ua,4,1,2024-11-19 22:04:07,pros: Everything was perfect. I was really surprised with the service. Stuff was mega helpful. Rooms are modern clean and very comfortable. Location - at the city centre. Highly recommend this hotel. cons: 
Portugal Boutique Hotel,en-gb,2024-11-16,2024-11-18,couple,leisure,gb,4,2,2024-11-19 10:49:50,pros: Immaculate in every way stayed in Premier room superb. Location perfect for the old town. Staff excellent. cons: Perhaps more hot items for breakfast.
Portugal Boutique Hotel,en-us,2024-10-06,2024-10-08,couple,leisure,us,4,2,2024-11-18 21:43:21,pros: The employees were great and so helpful.  They spoke excellent English and spent time explaining the area and providing information. cons: 
Portugal Boutique Hotel,en-us,2024-11-12,2024-11-16,couple,leisure,hk,3.59999990463257,4,2024-11-17 23:16:19,pros: Staff are friendly and the hotel is stylish and clean. cons: 
Portugal Boutique Hotel,en-gb,2024-11-14,2024-11-16,couple,leisure,gb,3.20000004768372,2,2024-11-17 08:32:34,pros: Very pleasant staff great location. Good bathrooms. cons: Badly situated and too few power points for charging phones etc.
Portugal Boutique Hotel,en-us,2024-11-13,2024-11-14,family_with_children,leisure,us,4,1,2024-11-16 19:24:56,pros: Staff very friendly cons: 
Portugal Boutique Hotel,en-gb,2024-11-11,2024-11-13,couple,business,it,3.59999990463257,2,2024-11-15 15:29:14,pros: attention to detail from the staff kindless cons: moquette in the rooms
Portugal Boutique Hotel,en-gb,2024-11-09,2024-11-13,couple,leisure,au,3.59999990463257,4,2024-11-14 15:26:14,pros: Location cons: Sound and vibration of metro when train is passing.
Portugal Boutique Hotel,en-us,2024-11-08,2024-11-10,review_category_group_of_friends,leisure,us,4,2,2024-11-14 12:35:42,pros: Friendly staff. Clean accommodations. Great breakfast. Great location. cons: Nothing.
Portugal Boutique Hotel,en-gb,2024-11-02,2024-11-05,couple,leisure,ie,4,3,2024-11-12 17:13:30,"pros: Very centrally located within easy walking distance of main areas of Lisbon 
Room was spotless and beds ultra comfortable 
But the stand out positive was the staff !
They could not have been more helpful and friendly to my wife and myself on our couple weekend in Lisbon and went out of their way to make our stay extra special !
We will definitely be back. cons: "
Portugal Boutique Hotel,en-us,2024-11-10,2024-11-11,couple,leisure,us,4,1,2024-11-11 23:01:30,pros: The breakfast was excellent and they brought port and desert up to the room which was very nice. cons: 
Portugal Boutique Hotel,en-gb,2024-11-05,2024-11-09,couple,leisure,gb,4,4,2024-11-10 11:33:01,"pros: Exceptional hotel should be 6 star

The location was great for walking to many attractions. The quality of the hotel and the room was excellent and the staff were the most friendly and helpful that we have ever experienced cons: Can't think of anything that wasn't perfect"
Portugal Boutique Hotel,en-gb,2024-11-05,2024-11-06,couple,leisure,gb,4,1,2024-11-07 17:01:14,pros: Perfect location. Within walking distance of the metro tourist attractions and restaurants. Staff were welcoming friendly and professional. Our room was upgraded and was fabulous! Good size great shower clean and comfortable. Breakfast was simple but delicious. Would definitely stay here again. cons: N/A
Portugal Boutique Hotel,en-gb,2024-11-04,2024-11-05,couple,leisure,ca,4,1,2024-11-06 15:43:05,pros: Super friendly great location.  Included welcome drinks pastel de nata and chocolate for the evening.   Similar to something we had on the cruise.   Breakfast included for our stay.  Breakfast buffet was great too.   They have an umbrella in the room for guest to use too.    A personal welcome message on the tv screen too. cons: Can't find any.  Just one tip no car can go into the street.  If you take a taxi Bolt or Uber you will walk for a minute or 2.  Depends on where the drop off is.
Portugal Boutique Hotel,en-gb,2024-10-29,2024-11-02,family_with_children,leisure,gb,3.59999990463257,4,2024-11-05 22:28:31,pros: We had a deluxe room which was a good size well appointed and very clean. Spacious bathroom with Rituals toiletries. Hotel is in a great central location close to many of Lisbon's main attractions.  Good breakfast selection and very tasty too.  All staff so lovely helpful and friendly. cons: 
Portugal Boutique Hotel,en-gb,2024-10-31,2024-11-03,couple,leisure,sk,3.59999990463257,3,2024-11-05 09:51:29,pros: The food was very tasty. The minor problem was the number of seats. With a fully booked hotel it was necessary to wait for a free place. Sometimes there were missing glasses but the staff was nice and made an effort to deal with the problems. cons: 
Portugal Boutique Hotel,en-us,2024-11-01,2024-11-02,couple,leisure,au,3.20000004768372,1,2024-11-03 06:19:21,pros: Location cons: Very small room. Notes and coffee making facilities
Portugal Boutique Hotel,en-gb,2024-10-28,2024-10-31,review_category_group_of_friends,leisure,gb,3.20000004768372,3,2024-11-02 16:04:43,"pros: Very clean  well appointed room
Good breakfast
Very helpful staff cons: Room was well appointed but quite small and lacked storage 
You can hear the faint rumble of the metro early in the morning but that’s not really their fault or indeed should it be a deal breaker"
Portugal Boutique Hotel,en-us,2024-10-24,2024-10-27,family_with_children,leisure,sa,4,3,2024-10-30 21:05:25,pros: I stayed here with my son and our experience was truly exceptional. The rooms were comfortable and the ambiance made us feel instantly relaxed. However it was the staff that really made our stay unforgettable especially Diogo. His warmth and genuine care shone through and he took a special interest in my son's journey offering words of encouragement before his competition and celebrating with us after his success. Diogo's support truly added a personal touch that meant a lot to both of us. We look forward to coming back! cons: The breakfast selection could use a bit more variety to enhance the morning experience
Portugal Boutique Hotel,en-gb,2024-10-27,2024-10-29,couple,leisure,us,4,2,2024-10-30 20:03:14,pros: The room was very comfortable. The breakfast was fabulous and the hotel provided amenities and services that made the stay very special. cons: 
Portugal Boutique Hotel,en-gb,2024-10-26,2024-10-29,couple,leisure,gb,3.20000004768372,3,2024-10-30 00:46:25,pros: Location was perfect 👍 cons: Nothing really however only served the beautiful Portuguese tarts once as a sweet option for breakfast and we were there for three nights.
Portugal Boutique Hotel,en-gb,2024-09-30,2024-10-03,couple,leisure,ca,4,3,2024-10-27 02:24:16,pros: A lovely hotel and our room was perfect.  Spacious and bright.  The staff were very helpful and solicitous.  Nice quiet street as well.  The breakfast was delicious with lots of variety. cons: 
Portugal Boutique Hotel,en-gb,2024-10-10,2024-10-12,couple,business,de,4,2,2024-10-24 13:36:26,"pros: It was an incredible experience! The hotel has a perfect location – just a few minutes away from Lisbon's main attractions yet it’s very cozy and peaceful. The room was elegantly decorated modern very clean and the bed was extremely comfortable.

The staff were friendly and always ready to help with any questions. The breakfasts which were included were delicious and varied. The hotel’s complimentary treats were something special: local drinks fresh desserts and incredibly tasty sweets.

Overall this is the perfect place for those seeking comfort and excellent service during their trip to Lisbon. I will definitely return and highly recommend this hotel to everyone! cons: "
Portugal Boutique Hotel,en-gb,2024-10-14,2024-10-21,couple,leisure,il,4,7,2024-10-22 09:54:31,"pros: Amazing hotel very helpful staff clean and very spacious room perfect location close to major attractions and lots of restaurants
the breakfast was very tasty
we stayed at the hotel 7 nights cons: nothing"
Portugal Boutique Hotel,en-us,2024-10-14,2024-10-17,review_category_group_of_friends,leisure,us,4,3,2024-10-19 20:18:32,pros: We loved the customer service the location the comfortable beds cons: Nothing. Everything was wonderful
Portugal Boutique Hotel,en-gb,2024-10-10,2024-10-13,solo_traveller,leisure,us,4,3,2024-10-19 10:10:47,pros: The location really is great cons: Check in time is late
Portugal Boutique Hotel,en-gb,2024-10-11,2024-10-13,couple,leisure,gb,3.59999990463257,2,2024-10-14 21:02:14,pros: The hotel was lovely and the rooms very comfortable. Lots of added extras made this hotel a lovely place to stay  The staff were very friendly and helpful and the breakfast was delicious. cons: I can't think of anything that was missing.
Portugal Boutique Hotel,en-gb,2024-10-05,2024-10-08,couple,leisure,ie,4,3,2024-10-14 12:06:36,pros: Loved this hotel. Great location. Beautiful room. Lovely breakfast. Staff could not have been more friendly or helpful. Lovely little treats. Really enjoyed our stay. cons: Nothing not to like!
